The Great Gatsby,The Great Gatsby,F. Scott Fitzgerald,The story of the fabulously wealthy Jay Gatsby and his love for the beautiful Daisy Buchanan,25
ToKill a Mockingbird,To Kill a Mockingbird,Harper Lee,A story of racial injustice and the loss of innocence in the American South,20
1984,1984,George Orwell,A dystopian novel set in a totalitarian society where Big Brother is always watching,30
PrideAndPrejudice,Pride and Prejudice,Jane Austen,"A classic tale of love, marriage, and social class in 19th century England",15
TheCatcherInTheRye,The Catcher in the Rye,J.D. Salinger,The story of teenage angst and alienation in post-World War II America,18
Lord of TheFlies,Lord of the Flies,William Golding,A group of boys stranded on an uninhabited island must confront their inner savagery to survive,22
Harry PotterAndTheSS,HarryPotterAndTheSorcererStone,J.K. Rowling,"The first installment in the beloved Harry Potter series, following the young wizard's journey at Hogwarts School of Witchcraft and Wizardry",25
The Hobbit,The Hobbit,J.R.R. Tolkien,"The prequel to the Lord of the Rings series, following the adventures of Bilbo Baggins as he embarks on a quest to reclaim the Lonely Mountain",20
Fahrenheit 451,Fahrenheit 451,Ray Bradbury,"A cautionary tale about a society where books are banned and burned, and one man's quest for knowledge and freedom",18
Jane Eyre,Jane Eyre,Charlotte Bronte,The story of a strong-willed governess who overcomes adversity to find love and independence,17
